,Compound,Date,Negative,Neutral,Positive,Source,Text
83,0.0,03/28/2018,1.0,0.0,0.0,@CBS,RT @startrekcbs: Binge the entire first season of #StarTrekDiscovery. All episodes now streaming exclusively on CBS All Access: https://t.c…
84,0.0,03/28/2018,1.0,0.0,0.0,@CBS,"RT @thegoodfight: #TheGoodFight returns in 1 week. Season 2 premieres Sunday, March 4. https://t.co/nomCao1GWp https://t.co/BOn6bOe9Tb"
85,0.5093,03/28/2018,0.845,0.0,0.155,@CBS,RT @thegoodfight: This is our new favorite thing. Christine Baranski debuted #TheGoodFight the Musical on @colbertlateshow last night! 🎵🎤…
86,0.0,03/28/2018,1.0,0.0,0.0,@CBS,"RT @LivinBiblically: Confession time: have YOU ever hit the ""close door"" button in an elevator while somebody was approaching? The cast of…"
87,0.0,03/28/2018,1.0,0.0,0.0,@CBS,RT @CBSEyeSpeak: Mark your calendars! #CBSEyeSpeak kicks off March 14 with The EYE Speak Summit. Follow our page for more details! https://…
88,0.6808,03/28/2018,0.752,0.0,0.248,@CBS,"RT @CBSEyeSpeak: Proud to announce a new CBS initiative, promoting female empowerment and developing the next generation of leaders through…"
89,0.4404,03/28/2018,0.884,0.0,0.116,@CBS,"RT @LivinBiblically: When you're living by the Bible, it's good to have a priest and a rabbi on call (provided they answer their phones, th…"
90,-0.4019,03/28/2018,0.881,0.119,0.0,@CBS,"RT @thegoodfight: Chicago lawyers are being hunted and the world is going insane. 

The new season of #TheGoodFight premieres Sunday, March…"
91,0.3612,03/28/2018,0.872,0.0,0.128,@CBS,Ready for some larger than life competition? This new series from @MarkBurnettTV will premiere in summer 2018.… https://t.co/gDXHLdIJ5v
92,0.6124,03/28/2018,0.773,0.0,0.227,@CBS,"With tournament dreams on the line, make sure to stream these college basketball matchups on CBS All Access:… https://t.co/SGkYUZrQWB"
93,0.3182,03/28/2018,0.892,0.0,0.108,@CBS,"RT @LivinBiblically: While Chip's sticking to the Bible's original rules, the cast of #LivingBiblically has given them a more modern makeov…"
94,0.68,03/28/2018,0.752,0.0,0.248,@CBS,"Casting News! Peter Mark Kendall, Michael Gaston, Greg Wise, Rade Šerbedžija, Zack Pearlman, and Keye Chen join the… https://t.co/GFob2KrD8H"
95,0.8619,03/28/2018,0.534,0.0,0.466,@CBS,RT @BullCBS: The verdict is in...#Bull is the perfect Valentine! ❤️ Happy #ValentinesDay! https://t.co/poEejI4AnC
96,0.0,03/28/2018,1.0,0.0,0.0,@CBS,"RT @NoActivityCBS: Car 27 reporting: Season 2 of #NoActivity coming soon!

Binge season one now on CBS All Access: https://t.co/yvxoQMeyhN…"
97,0.7506,03/28/2018,0.748,0.0,0.252,@CBS,"RT @LivinBiblically: Against all odds (and the advice of his God Squad), Chip is determined to live life by the Good Book. Think you could…"
98,0.0,03/28/2018,1.0,0.0,0.0,@CBS,RT @thegoodfight: Christine Baranski reflects upon the spectacular metamorphosis of her character in #TheGoodFight's first season. Revisit…
99,0.0,03/28/2018,1.0,0.0,0.0,@CBS,RT @startrekcbs: Binge the entire first season of #StarTrekDiscovery. All 15 episodes now streaming on CBS All Access: https://t.co/lKLaptP…
0,0.0,03/28/2018,1.0,0.0,0.0,@FoxNews,.@LindseyGrahamSC on dealing with North Korea: “We’ve tried it the Jimmy Carter way for about 30 years. Let’s try i… https://t.co/N0U5OcrIJ7
1,-0.5423,03/28/2018,0.774,0.226,0.0,@FoxNews,"Veteran kills himself in St. Louis VA hospital waiting room, report says https://t.co/dhJledu3EH"
2,-0.7579,03/28/2018,0.723,0.277,0.0,@FoxNews,.@cvpayne: “We’ve been in a trade war with China for a very long time… and we have been losing mightily.” https://t.co/7mIzoOvo3o
3,-0.743,03/28/2018,0.521,0.342,0.137,@FoxNews,"""It is a tragedy.""

Sandy Best, sister of a woman killed by an illegal immigrant who was drunk driving, speaks out.… https://t.co/xru7EGV5CA"
4,0.0,03/28/2018,1.0,0.0,0.0,@FoxNews,"Shawn Nelson, Orange County Supervisor, on sanctuary status: “It is unconstitutional.” https://t.co/Wm0g8elAio"
5,-0.8885,03/28/2018,0.488,0.512,0.0,@FoxNews,Illegal immigrant Luis Bracamontes gets death penalty for slaying 2 California sheriff's deputies https://t.co/t08Kd4PUbq
6,0.5413,03/28/2018,0.837,0.0,0.163,@FoxNews,"Political analyst Ron Meyer: ""Democrats really care about getting services to people who are here illegally more th… https://t.co/MN2bnL0FXx"
